Manufacturer,Price,Levy,Model,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Age
TOYOTA,549,1079.0,CHR,Jeep,Yes,Petrol,2.0,74146,4.0,Automatic,Front,Left wheel,White,12,5
TOYOTA,51746,1077.0,CHR Limited,Jeep,No,Petrol,2.0,10200,4.0,Tiptronic,Front,Left wheel,Red,12,4
MERCEDES-BENZ,87112,0.0,GLA 250,Jeep,Yes,Petrol,2.0,5323,4.0,Tiptronic,4x4,Left wheel,Grey,0,4
CHEVROLET,23521,781.0,Cruze LT,Sedan,No,Petrol,1.4,22000,4.0,Automatic,Front,Left wheel,Red,6,5
TOYOTA,7527,830.0,Yaris,Sedan,Yes,Petrol,1.5,27656,4.0,Automatic,Front,Left wheel,White,12,4
TOYOTA,18817,609.0,Camry,Sedan,Yes,Hybrid,2.5,35058,4.0,Automatic,Front,Left wheel,White,12,5
LEXUS,72130,1079.0,NX 300,Jeep,Yes,Petrol,2.0,18918,4.0,Tiptronic,Front,Left wheel,Black,6,5
TOYOTA,21012,1823.0,Tacoma,Sedan,Yes,Petrol,3.5,27358,6.0,Automatic,Front,Left wheel,Grey,12,5
MAZDA,470,1077.0,1000,Jeep,Yes,Petrol,2.0,11566,4.0,Automatic,4x4,Left wheel,Black,12,4
AUDI,1300,0.0,50,Coupe,Yes,Petrol,0.5,4000,1.0,Tiptronic,Rear,Right-hand drive,Blue,0,5
TOYOTA,56450,0.0,Camry Se,Sedan,Yes,Petrol,2.5,25000,4.0,Tiptronic,Front,Left wheel,Blue,12,5
PORSCHE,3058,1872.0,Cayenne,Sedan,Yes,Petrol,3.6,28968,6.0,Automatic,4x4,Left wheel,White,12,5
HYUNDAI,59865,879.0,Tucson,Jeep,Yes,Diesel,1.6,13000,4.0,Automatic,Front,Left wheel,White,4,4
HYUNDAI,68223,1327.0,H1,Universal,Yes,Diesel,2.5,27406,4.0,Automatic,Front,Left wheel,Yellow,4,5
HYUNDAI,36426,880.0,Elantra,Sedan,Yes,LPG,1.6,35643,4.0,Automatic,Front,Left wheel,White,4,5
HYUNDAI,2901,1277.0,Sonata,Sedan,Yes,Petrol,2.4,45494,4.0,Automatic,Front,Left wheel,White,12,5
CHEVROLET,21169,781.0,Cruze,Sedan,No,Petrol,1.4,25304,4.0,Automatic,Front,Left wheel,Brown,8,5
MERCEDES-BENZ,84675,0.0,GLC 300,Sedan,Yes,Petrol,2.0,4500,6.0,Tiptronic,Rear,Left wheel,Black,12,5
HYUNDAI,80911,1325.0,H1,Minivan,Yes,Diesel,2.5,25541,4.0,Automatic,Front,Left wheel,Black,4,4
TOYOTA,300,0.0,Land Cruiser Prado,Jeep,Yes,Petrol,2.7,120,4.0,Automatic,4x4,Left wheel,White,10,4
HONDA,38213,1079.0,Civic,Sedan,Yes,Petrol,2.0,0,4.0,Automatic,Front,Left wheel,White,4,5
